text	label	cleaned_text
Both as Republicans and as Americans, we note with pride the contributions to this country that are being made by our fellow citizens of Indian ancestry.	1	Both Republicans Americans note pride contribution country made fellow citizen Indian ancestry
We will expand local food markets and regional food systems and provide a focused safety net to assist family operations that need support during challenging times.	1	We expand local food market regional food system provide focused safety net assist family operation need support challenging time
The remarkable truth of it is that one out of every five Canadians was born elsewhere.	0	The remarkable truth one every five Canadians born elsewhere
creating millions of good-paying middle class jobs;	1	creating million goodpaying middle class job
Faced with this democratic denial of us of deputy who will vote against the law allowing him to have in this way.	1	Faced democratic denial u deputy vote law allowing way
As we approach the 150th anniversary of the Emancipation Proclamation, issued by the first Republican President Abraham Lincoln, we are reminded to be vigilant against human bondage in whatever form it appears.	1	As approach 150th anniversary Emancipation Proclamation issued first Republican President Abraham Lincoln reminded vigilant human bondage whatever form appears
Single system of social safety nets for all workers and strengthening active policies.	1	Single system social safety net worker strengthening active policy
When the United States was attacked on September 11, 2001, our NATO allies invoked Article 5 of the North Atlantic Treaty, stating that an attack against one is an attack against all—for the first and only time in its history.	1	When United States attacked September 11 2001 NATO ally invoked Article 5 North Atlantic Treaty stating attack one attack all—for first time history
a  unifying  force  essential  for  the  educational  and  economic  advancement  of—not  only  immigrant  communities—but   also  our  nation  as  a  whole.   	0	unifying force essential educational economic advancement of—not immigrant communities—but also nation whole
We will continue to vigorously oppose those laws and other efforts that would eliminate dues check-off procedures,	1	We continue vigorously oppose law effort would eliminate due checkoff procedure
Remove aspirant immigration pumps.	0	Remove aspirant immigration pump
We will build on the Policing and Crime Act, which introduced better co-ordination of policing and fire and rescue services, with greater devolution of criminal justice responsibility and budgets to local commissioners.	0	We build Policing Crime Act introduced better coordination policing fire rescue service greater devolution criminal justice responsibility budget local commissioner
Community punishments do not do enough to prevent crime and break the cycle of persistent offending.	0	Community punishment enough prevent crime break cycle persistent offending
Delicate and revalue the index point for civil servants.	1	Delicate revalue index point civil servant
Given the immense scale of human suffering in Syria, it is also imperative that we lead the international community	1	Given immense scale human suffering Syria also imperative lead international community
Fix this provision in the Constitution of the Russian Federation and reflect it in all textbooks on national history.	0	Fix provision Constitution Russian Federation reflect textbook national history
The institution of marriage is the foundation of civil society.	0	The institution marriage foundation civil society
We will assist states in providing a system of public defense that is adequately resourced and which meets American Bar Association standards.	1	We assist state providing system public defense adequately resourced meet American Bar Association standard
It's no surprise that one reputable study just this year declared Canada the most admired country in the world.	0	Its surprise one reputable study year declared Canada admired country world
We will stop the scourge of human trafficking and modern slavery of men, women, boys, and girls.	0	We stop scourge human trafficking modern slavery men woman boy girl
We agree with military and national security experts who acknowledge that torture is not an effective interrogation technique.	1	We agree military national security expert acknowledge torture effective interrogation technique
Democrats support removing the Confederate battle flag from public properties, recognizing that it is a symbol of our nation's racist past that has no place in our present or our future.	1	Democrats support removing Confederate battle flag public property recognizing symbol nation racist past place present future
These are some of the obstacles that couples face to conquer the possibility of being parents.	0	These obstacle couple face conquer possibility parent
We will create a new legal framework for prisons, strengthening the inspectorate and ombudsman to provide sharper external scrutiny.	0	We create new legal framework prison strengthening inspectorate ombudsman provide sharper external scrutiny
Target the 5,000 chiefs of delinquents and criminal bands identified by the Ministry of the Interior.	0	Target 5000 chief delinquent criminal band identified Ministry Interior
We support restoring the Drug Enforcement Administration ban on the use of controlled substances for physicianassisted suicide.	0	We support restoring Drug Enforcement Administration ban use controlled substance physicianassisted suicide
Setting up bilateral agreements allowing condemned foreigners to serve their sentence in their country of origin.	0	Setting bilateral agreement allowing condemned foreigner serve sentence country origin
It is about who we are as a nation, and who we will be in the future.	0	It nation future
We also support the elimination of school and sports mascots that reflect derogatory stereotypes and that perpetuate racism.	1	We also support elimination school sport mascot reflect derogatory stereotype perpetuate racism
27. Provide citizens with work	1	27 Provide citizen work
Canadians are a northern people; winter blows through our stories, our songs, and our sports.	0	Canadians northern people winter blow story song sport
parental involvement;	0	parental involvement
We cannot, as Donald Trump suggests, cede the mantle of leadership for global peace and security to others who will not have our best interests in mind.	1	We cannot Donald Trump suggests cede mantle leadership global peace security others best interest mind
This leadership has made the U.S. the medical innovation capital of the world,	0	This leadership made US medical innovation capital world
We will take action to make it harder for people to enter the country if they have a criminal conviction	0	We take action make harder people enter country criminal conviction
In primary school, reserve half of the teaching time for French, written as well as orally.	0	In primary school reserve half teaching time French written well orally
We support President Obama’s call for an international summit to address this crisis so that every country assumes its responsibility to meet this humanitarian challenge.	1	We support President Obama’s call international summit address crisis every country assumes responsibility meet humanitarian challenge
and enshrining our global leadership in the ethical and proportionate regulation of data.	0	enshrining global leadership ethical proportionate regulation data
The migration policy should be well thought out.	0	The migration policy well thought out
It is un-American and runs counter to the founding principles of this country.	1	It unAmerican run counter founding principle country
We will ensure that under the Istanbul Convention, disability hate crime and violence against women with disabilities is reported annually, with national actions plans to address these issues.	0	We ensure Istanbul Convention disability hate crime violence woman disability reported annually national action plan address issue
American workers deserve better.	1	American worker deserve better
We can and should go further.	0	We go further
Democrats support high labor standards in clean energy infrastructure and the right to form or join a union,	1	Democrats support high labor standard clean energy infrastructure right form join union
and we oppose any form of U.N. Global Tax.	0	oppose form UN Global Tax
Telephone interceptions cannot be newspaper.	1	Telephone interception cannot newspaper
By fighting against fraud (creation of a biometric vital card merged with the identity title),	0	By fighting fraud creation biometric vital card merged identity title
As Democrats, we respect differences of perspective and belief, and pledge to work together to move this country forward, even when we disagree.	1	As Democrats respect difference perspective belief pledge work together move country forward even disagree
We will support the public sector and civil society in identifying extremists,	0	We support public sector civil society identifying extremist
and why Democrats condemn Donald Trump’s statements that he would engage in torture and other war crimes.	1	Democrats condemn Donald Trump’s statement would engage torture war crime
A Labour government will publish annual reports on prisoner-staff ratios, with a view to maintaining safety and ending overcrowding.	0	A Labour government publish annual report prisonerstaff ratio view maintaining safety ending overcrowding
We recognize that there are vulnerable communities within our immigration system who are often seeking refuge from persecution abroad, such as LGBT families, for whom detention can be unacceptably dangerous.	1	We recognize vulnerable community within immigration system often seeking refuge persecution abroad LGBT family detention unacceptably dangerous
From our large national institutions to the smallest community historical societies, Canada's museums carry out the noble and vital task of preserving our collective past.	0	From large national institution smallest community historical society Canadas museum carry noble vital task preserving collective past
strengthen self-determination to enable culturally-tailored learning unique to each tribal nation,	1	strengthen selfdetermination enable culturallytailored learning unique tribal nation
Crimes that have no statute of limitations must be investigated.	0	Crimes statute limitation must investigated
We will also stand by the Cuban people and support their ability to decide their own future	1	We also stand Cuban people support ability decide future
Building on the accomplishments of the Victims of Trafficking and Violence Protection Act of 2000, we call for increased diplomatic efforts with foreign governments to root out complicit public officials who facilitate or perpetrate this evil.	1	Building accomplishment Victims Trafficking Violence Protection Act 2000 call increased diplomatic effort foreign government root complicit public official facilitate perpetrate evil
In America, we do not tear each other down—we lift each other up.	1	In America tear down—we lift up
Conclusion of the reform of work according to the principle of equal rights of all workers.	1	Conclusion reform work according principle equal right worker
Democrats believe that LGBT rights are human rights and that American foreign policy should advance the ability of all persons to live with dignity, security, and respect, regardless of who they are or who they love.	1	Democrats believe LGBT right human right American foreign policy advance ability person live dignity security respect regardless love
You need to persuade a woman to give birth.	0	You need persuade woman give birth
using threats and coercion outside the law to attack businesses	0	using threat coercion outside law attack business
and to leading a global effort to mobilize nations to address this threat on a scale not seen since World War II.	1	leading global effort mobilize nation address threat scale seen since World War II
A majority of Canadians believe that new citizens should be seen and heard at the moment they join the Canadian family.	0	A majority Canadians believe new citizen seen heard moment join Canadian family
Because of the vital role of religious organizations, charities, and fraternal benevolent societies in fostering benevolence and patriotism, they should not be subject to taxation, and donations to them should continue to be tax deductible.	0	Because vital role religious organization charity fraternal benevolent society fostering benevolence patriotism subject taxation donation continue tax deductible
Over the past three decades, America has signed too many trade deals that have not lived up to the hype.	0	Over past three decade America signed many trade deal lived hype
Russia was created by the great Russian people who brought freedom and other nationalities.	0	Russia created great Russian people brought freedom nationality
Our Conservative Government will continue to make protecting our Northern sovereignty a major priority.	0	Our Conservative Government continue make protecting Northern sovereignty major priority
Enter a progressive tax scale from 5 % to 30 %, the higher the income, the greater the tax.	1	Enter progressive tax scale 5 30 higher income greater tax
Its vast geography is our present.	0	Its vast geography present
We demand an end to the Project Labor Agreements;	0	We demand end Project Labor Agreements
The genocide of the Russian people should be stopped.	0	The genocide Russian people stopped
We must fix family backlogs and defend against those who would exclude or eliminate legal immigration avenues and denigrate immigrants.	1	We must fix family backlog defend would exclude eliminate legal immigration avenue denigrate immigrant
and condemn the State blacklisting of religious groups which decline to arrange adoptions by samesex couples.	0	condemn State blacklisting religious group decline arrange adoption samesex couple
as well as laws that bring companies to the negotiating table.	1	well law bring company negotiating table
It has no place in the United States of America.	1	It place United States America
We will definitively close the places of worship in which some preach the apology for terrorism.	0	We definitively close place worship preach apology terrorism
The Oath of Citizenship is a solemn declaration in which citizenship candidates promise to obey Canadian laws, while fulfilling their duties and responsibilities as Canadian citizens.	0	The Oath Citizenship solemn declaration citizenship candidate promise obey Canadian law fulfilling duty responsibility Canadian citizen
legislate to ensure trade unions use a transparent opt-in process for union subscriptions;	0	legislate ensure trade union use transparent optin process union subscription
Now raising a family is hard work, and we believe it's work best left to the experts: Mom and Dad.	0	Now raising family hard work believe work best left expert Mom Dad
protect the privacy of Americans,	1	protect privacy Americans
We support these essential extensions of American values and culture	0	We support essential extension American value culture
empowerment is better than resentment,	1	empowerment better resentment
We salute the Republican Governors and State legislators who have saved their States from fiscal disaster by reforming their laws governing public employee unions.	0	We salute Republican Governors State legislator saved States fiscal disaster reforming law governing public employee union
We do not believe, however, that healthcare providers should be allowed to withhold services because the healthcare provider believes the patient’s life is not worth living.	1	We believe however healthcare provider allowed withhold service healthcare provider belief patient’s life worth living
May God continue to shed his grace on the United States of America.	0	May God continue shed grace United States America
We will continue to stand with LGBT people around the world, including fighting efforts by any nation to infringe on LGBT rights or ignore abuse.	1	We continue stand LGBT people around world including fighting effort nation infringe LGBT right ignore abuse
Conservatives believe in controlled immigration, not mass immigration.	0	Conservatives believe controlled immigration mass immigration
implementing universal automatic voter registration and same day voter registration,	1	implementing universal automatic voter registration day voter registration
We will consult on how we might strengthen the corporate governance of privately-owned businesses.	0	We consult might strengthen corporate governance privatelyowned business
The  Keystone  XL  Pipeline—which  would  have brought  much  needed  Canadian  and  American  oil  to U.S.  refineries—would  create  thousands  of  jobs.	1	The Keystone XL Pipeline—which would brought much needed Canadian American oil US refineries—would create thousand job
"Make school an ""inviolable asylum where the quarrels of men do not enter"" (Jean Zay), therefore by imposing not only secularism, but also neutrality and security."	0	Make school inviolable asylum quarrel men enter Jean Zay therefore imposing secularism also neutrality security
We need to continue this work and make more progress on important global goals like ending extreme poverty and hunger.	1	We need continue work make progress important global goal like ending extreme poverty hunger
Our United Kingdom can seize enormous opportunities but only if we make decisions for the long term.	0	Our United Kingdom seize enormous opportunity make decision long term
just as they should be treated equally.	1	treated equally
The Democratic Party believes that supporting workers through higher wages,	1	The Democratic Party belief supporting worker higher wage
and to hold the police and the criminal justice system to account.	0	hold police criminal justice system account
the next Democratic administration will confront the complex challenges that lie ahead by staying true to our principles and core values.	0	next Democratic administration confront complex challenge lie ahead staying true principle core value
We will strongly enforce antidiscrimination statutes	1	We strongly enforce antidiscrimination statute
Our national languages are a part of Canada's past, present, and future.	0	Our national language part Canadas past present future
29. Conduct a large -scale amnesty	1	29 Conduct large scale amnesty
enacting the Secret Ballot Protection Act,	0	enacting Secret Ballot Protection Act
Democrats believe that all health care services should be culturally and linguistically appropriate,	1	Democrats believe health care service culturally linguistically appropriate
the solemn compact which confirms our Godgiven individual rights	0	solemn compact confirms Godgiven individual right
There must be no use of foreign law by U.S. courts in interpreting our Constitution and laws.	0	There must use foreign law US court interpreting Constitution law
We will require the Department of Justice to investigate all questionable or suspicious police-involved shootings,	1	We require Department Justice investigate questionable suspicious policeinvolved shooting
 a  shift  from  a  jobkilling punitive  mentality	1	shift jobkilling punitive mentality
56. Put the media in the service of the people	0	56 Put medium service people
and our vision for a stronger and freer America.	0	vision stronger freer America
so that citizens are distinguished from lawfully present aliens and illegal aliens.	0	citizen distinguished lawfully present alien illegal alien
Its exploration, by great heroes like Sir John Franklin, is our history.	0	Its exploration great hero like Sir John Franklin history
We also must lift up and trust our educators, continually build their capacity, and ensure that our schools are safe, welcoming, collaborative, and well-resourced places for our students, educators, and communities.	1	We also must lift trust educator continually build capacity ensure school safe welcoming collaborative wellresourced place student educator community
We will reform the student visa system with new measures to tackle abuse and reduce the numbers of students overstaying once their visas expire.	0	We reform student visa system new measure tackle abuse reduce number student overstaying visa expire
But in the past he worked hard and hard.	1	But past worked hard hard
We will encourage programs to protect and enhance family farms, a cherished way of life for millions of Americans.	1	We encourage program protect enhance family farm cherished way life million Americans
We should prioritize those who pose a threat to the safety of our communities, not hardworking families who are contributing to their communities.	1	We prioritize pose threat safety community hardworking family contributing community
The family courts need to do more to support families, valuing the roles of mothers and fathers, while ensuring parents face up to their responsibilities.	0	The family court need support family valuing role mother father ensuring parent face responsibility
Democrats know that our nation, our communities, and our lives are made vastly stronger and richer by faith in many forms and the countless acts of justice, mercy, and tolerance it inspires.	0	Democrats know nation community life made vastly stronger richer faith many form countless act justice mercy tolerance inspires
We all share our language, our first common treasure, both our base and our lighthouse: what made us and what distinguishes us, also nourished by the vitality of many regional languages.	0	We share language first common treasure base lighthouse made u distinguishes u also nourished vitality many regional language
or limit their commitment to their ideals.	1	limit commitment ideal
Prisons must become places of safety, discipline and hard work, places where people are helped to turn their lives around.	0	Prisons must become place safety discipline hard work place people helped turn life around
We will support you, whether you choose to go out to work or stay at home to raise your children.	0	We support you whether choose go work stay home raise child
When the Constitution is evaded, transgressed, or ignored, so are the freedoms it guarantees.	1	When Constitution evaded transgressed ignored freedom guarantee
Democrats believe it is long past time to close this racial wealth gap.	1	Democrats believe long past time close racial wealth gap
and put an AIDS-free generation within reach.	1	put AIDSfree generation within reach
5 years.	0	5 year
specifically youth un- and underemployment,	1	specifically youth un underemployment
In the spirit of the Constitution, we consider discrimination based on sex, race, age, religion, creed, disability, or national origin unacceptable and immoral.	1	In spirit Constitution consider discrimination based sex race age religion creed disability national origin unacceptable immoral
To safeguard the free choice of public employees, no government at any level should act as the dues collector for unions.	0	To safeguard free choice public employee government level act due collector union
We will therefore establish an immigration policy that allows us to reduce and control the number of people who come to Britain from the European Union,	0	We therefore establish immigration policy allows u reduce control number people come Britain European Union
Restore authority and respect for the master and establish the wearing of a uniform in school.	0	Restore authority respect master establish wearing uniform school
Democrats acknowledge that for millions of Americans, global trade has failed to live up to its promise	0	Democrats acknowledge million Americans global trade failed live promise
Individuals with preexisting conditions who maintain continuous insurance coverage should be protected from discrimination.	1	Individuals preexisting condition maintain continuous insurance coverage protected discrimination
Recognizing that maintaining good mental health is critical to all people, including young people’s health and development,	1	Recognizing maintaining good mental health critical people including young people’s health development
Employment and Training Security in Connection With Unions,	1	Employment Training Security Connection With Unions
And on our watch, Canada will never turn away from this legacy of excellence.¸	0	And watch Canada never turn away legacy excellence¸
Democrats also realize the critical importance of small businesses as engines of opportunity for women, people of color, tribes, and people in rural America, and will work to nurture entrepreneurship.	1	Democrats also realize critical importance small business engine opportunity woman people color tribe people rural America work nurture entrepreneurship
Permanently popping all the public buildings of the French flag and withdrawing the European flag.	0	Permanently popping public building French flag withdrawing European flag
and create a path to citizenship for law-abiding families who are here, making a better life for their families and contributing to their communities and our country.	1	create path citizenship lawabiding family here making better life family contributing community country
able to take a lead in the world to defend Britain’s interests;	0	able take lead world defend Britain’s interest
We will take a more proactive approach to transparency and misuse of trusts.	0	We take proactive approach transparency misuse trust
"The LDPR does not recognize the ""rights of nations to self -determination"" in Russia."	0	The LDPR recognize right nation self determination Russia
and can fuel violence.	0	fuel violence
We call for a climate change policy that protects tribal resources,	1	We call climate change policy protects tribal resource
It is unwanted and unnecessary, and we will campaign tirelessly to ensure Scotland remains part of the UK.	0	It unwanted unnecessary campaign tirelessly ensure Scotland remains part UK
New Rights of Employees in the Company	1	New Rights Employees Company
missionsand maintaining a source of highvalue American jobs.	1	missionsand maintaining source highvalue American job
The Democratic Party supports legal immigration, within reasonable limits, that meets the needs of families, communities, and the economy	1	The Democratic Party support legal immigration within reasonable limit meet need family community economy
We urge the private sector to make hiring vets a company policy and commend the many organizations that have specific programs to accomplish this.	1	We urge private sector make hiring vet company policy commend many organization specific program accomplish this
The right to vote is at the heart of our national vision.	1	The right vote heart national vision
"Social ""elevators"" must earn, which are ""broken"" today."	1	Social elevator must earn broken today
Continue international tax cooperation for this purpose.	1	Continue international tax cooperation purpose
Instead, what this Administration has given us is 42 consecutive months of unemployment above 8 percent, the longest period of high unemployment since the Great Depression.	1	Instead Administration given u 42 consecutive month unemployment 8 percent longest period high unemployment since Great Depression
We seek to protect young girls from exploitation through a parental consent requirement;	0	We seek protect young girl exploitation parental consent requirement
Fight against the jihadist sectors: forfeiture of French nationality, expulsion and prohibition of the territory for any binational linked to a jihadist sector.	0	Fight jihadist sector forfeiture French nationality expulsion prohibition territory binational linked jihadist sector
The pursuit of opportunity has defined America from our very beginning.	0	The pursuit opportunity defined America beginning
Public policy should advance the affordability, innovation, and transparency needed to address all these challenges and to make accessible to everyone the emerging alternatives, with their lower cost degrees, to traditional college attendance.	1	Public policy advance affordability innovation transparency needed address challenge make accessible everyone emerging alternative lower cost degree traditional college attendance
We condemn and will combat any acts of violence, harassment, and intimidation of reproductive health providers, patients, and staff.	0	We condemn combat act violence harassment intimidation reproductive health provider patient staff
And we will look for areas of cooperation, including on combatting climate change and nuclear proliferation.	1	And look area cooperation including combatting climate change nuclear proliferation
