	text	label	cleaned_text
968	Religious minorities across the Middle East are being driven from their ancient homelands, fanaticism leaves its bloody mark on both West and East Africa, and even among America’s Western friends and allies, pastors and families are penalized for their religious convictions.	1	Religious minority across Middle East driven ancient homeland fanaticism leaf bloody mark West East Africa even among America’s Western friend ally pastor family penalized religious conviction
345	implementing universal automatic voter registration and same day voter registration,	1	implementing universal automatic voter registration day voter registration
971	an  essential  part  of  which  is  the  peaceful development  of  less  advanced and  vulnerable  societies  in  critical  parts  of  the  world.	1	essential part peaceful development le advanced vulnerable society critical part world
133	Any future trade agreements must make sure our trading partners cannot undercut American workers by taking shortcuts on labor policy	1	Any future trade agreement must make sure trading partner cannot undercut American worker taking shortcut labor policy
104	We will protect the intellectual property rights of artists, creators, and inventors at home and abroad.	1	We protect intellectual property right artist creator inventor home abroad
6	and puts a middle-class life within reach for more Americans.	1	put middleclass life within reach Americans
600	Abroad, we will continue our commitment to the President’s Emergency Plan for AIDS Relief and increase global funding for HIV and AIDS prevention and treatment.	1	Abroad continue commitment President’s Emergency Plan AIDS Relief increase global funding HIV AIDS prevention treatment
496	We are proud of the repeal of Don’t Ask, Don’t Tell and we commit ourselves to insuring fair treatment for LGBT veterans, including by proactively reviewing and upgrading discharge records for veterans who were discharged because of their sexual orientation.	1	We proud repeal Don’t Ask Don’t Tell commit insuring fair treatment LGBT veteran including proactively reviewing upgrading discharge record veteran discharged sexual orientation
702	Maintain local hospitals as much as possible and increase the staff of the hospital public service.	1	Maintain local hospital much possible increase staff hospital public service
472	We believe all people deserve to live in dignity and have their rights respected.	1	We believe people deserve live dignity right respected
598	We will also learn from recent conflicts to improve civilian capacity for conflict prevention and stabilization.	1	We also learn recent conflict improve civilian capacity conflict prevention stabilization
502	with appropriate safeguards here at home,	1	appropriate safeguard home
433	Democrats believe your zip code or census tract should not be a predictor of your health,	1	Democrats believe zip code census tract predictor health
